Year,0to4,5to9,10to14,15to19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45to49,50 to 54,55 to 59,60 to 64,65+,NOM
2004,0.060123778,0.069043279,0.072126919,0.195746306,0.198087855,0.129253514,0.115470795,0.076543441,0.05111782,0.022392415,0.005165818,0.003998646,0.003206121,-0.002276706,138797
2005,0.064930686,0.07395838,0.071318145,0.151854844,0.162829314,0.134117557,0.123302138,0.087235897,0.056481935,0.027127616,0.01369741,0.011655204,0.010510042,0.010980831,157183
2006,0.059471968,0.070120716,0.066242,0.145593656,0.184168152,0.155255003,0.119004699,0.085944462,0.060013773,0.027125699,0.010193024,0.006633314,0.006825731,0.003407802,197488
2007,0.055165349,0.059804122,0.055997213,0.15914027,0.217407696,0.162225956,0.111240421,0.081457198,0.053190182,0.024755153,0.009441462,0.006355776,0.005167397,-0.001348195,244030
2008,0.053169754,0.053283791,0.048817341,0.134604846,0.232670335,0.178673813,0.114011663,0.077652865,0.050100258,0.026032114,0.0127373,0.007621473,0.005765204,0.004859243,315687
2009,0.053560146,0.054763062,0.051599838,0.151101661,0.251190765,0.171599838,0.107808829,0.070627785,0.044333738,0.022871608,0.011113811,0.006800324,0.00309032,-0.000461725,246900
2010,0.064154431,0.066694567,0.061352724,0.155477278,0.185127704,0.120909334,0.117282228,0.086957533,0.053959009,0.034672572,0.018368035,0.015188505,0.010660435,0.009195643,172038
2011,0.070785058,0.068728456,0.059835958,0.12940553,0.178895269,0.150161173,0.118242504,0.083474735,0.062111348,0.036031875,0.020731334,0.013618308,0.007254022,0.00072443,205679
2012,0.067475025,0.063275999,0.053151165,0.125473812,0.181977459,0.166217423,0.118596169,0.081310332,0.05967924,0.032855169,0.018118567,0.014353342,0.010209067,0.007307232,237436
2013,0.06341984,0.066820276,0.05716226,0.154484599,0.22880912,0.159660441,0.097758913,0.064841135,0.043822459,0.022527286,0.01141887,0.009192336,0.008411351,0.011671113,206150
2014,0.06196017,0.059549116,0.053837548,0.196151264,0.271453345,0.138062206,0.087334974,0.053518684,0.033933766,0.015898411,0.00625979,0.007652719,0.008894607,0.005493399,178760
2015,0.062255268,0.059884339,0.050598674,0.198388448,0.28168783,0.128533759,0.09183812,0.052194382,0.033464611,0.00957991,0.011922546,0.006133858,0.009896788,0.003621466,176724
