Africa,,,,
,Phase 1,Phase 2,Phase 3,Phase 4
0-9,0.68,0.066666667,0.24,0.013333333
,0.142857143,0.071428571,0.726190476,0.05952381
20-29,0.056179775,0.033707865,0.820224719,0.08988764
30-39,0.043010753,0,0.870967742,0.086021505
40-49,0.021052632,0,0.926315789,0.052631579
50-59,0,0,0.969072165,0.030927835
60+,0,0,0.95,0.05
,,,,
Asia,,,,
,Phase 1,Phase 2,Phase 3,Phase 4
0-9,0.7,0.15,0.15,0
,0.605,0.105,0.255,0.035
20-29,0.505,0.105,0.355,0.035
30-39,0.306666667,0.156666667,0.406666667,0.13
40-49,0.11,0.16,0.56,0.17
50-59,0.06,0.06,0.66,0.22
60+,0,0.07,0.67,0.26
,,,,
US,,,,
,Phase 1,Phase 2,Phase 3,Phase 4
0-9,0,0,0,0
,0,0,0,0
20-29,0,0,0,0
30-39,0,0,0,0
40-49,0,0,0,0
50-59,0,0,0,0
60+,0,0,0,0
,,,,
Indigenious,,,,
,Phase 1,Phase 2,Phase 3,Phase 4
0-9,0.6,0.1,0.25,0.05
,0.4,0.15,0.35,0.1
20-29,0.25,0.15,0.4,0.2
30-39,0.15,0.1,0.45,0.3
40-49,0.1,0.05,0.5,0.35
50-59,0.05,0.05,0.65,0.25
60+,UNK,UNK,UNK,UNK
,,,,
,,,,
Combined,670,310,660,360
,,,,
All ages,33.5,15.5,33,18
,,,,
0-9,0.66,0.105555556,0.213333333,0.021111111
,0.382619048,0.108809524,0.443730159,0.06484127
20-29,0.270393258,0.096235955,0.525074906,0.10829588
30-39,0.16655914,0.085555556,0.575878136,0.172007168
40-49,0.077017544,0.07,0.662105263,0.190877193
50-59,0.036666667,0.036666667,0.759690722,0.166975945
60+,0,0.035,0.81,0.155
